O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Data Value,Date,Domain Source
11-1011.00,Chief Executives,1.B.1.a,Realistic,OI,Occupational Interests,1.3,11/2023,Machine Learning
11-1011.00,Chief Executives,1.B.1.b,Investigative,OI,Occupational Interests,3.24,11/2023,Machine Learning
11-1011.00,Chief Executives,1.B.1.c,Artistic,OI,Occupational Interests,2.08,11/2023,Machine Learning
11-1011.00,Chief Executives,1.B.1.d,Social,OI,Occupational Interests,3.52,11/2023,Machine Learning
11-1011.00,Chief Executives,1.B.1.e,Enterprising,OI,Occupational Interests,6.88,11/2023,Machine Learning
11-1011.00,Chief Executives,1.B.1.f,Conventional,OI,Occupational Interests,5,11/2023,Machine Learning
11-1011.00,Chief Executives,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-1011.00,Chief Executives,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-1011.00,Chief Executives,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,11/2023,Machine Learning
11-1011.03,Chief Sustainability Officers,1.B.1.a,Realistic,OI,Occupational Interests,2.04,11/2023,Machine Learning
11-1011.03,Chief Sustainability Officers,1.B.1.b,Investigative,OI,Occupational Interests,4.78,11/2023,Machine Learning
11-1011.03,Chief Sustainability Officers,1.B.1.c,Artistic,OI,Occupational Interests,2.48,11/2023,Machine Learning
11-1011.03,Chief Sustainability Officers,1.B.1.d,Social,OI,Occupational Interests,3.55,11/2023,Machine Learning
11-1011.03,Chief Sustainability Officers,1.B.1.e,Enterprising,OI,Occupational Interests,6.68,11/2023,Machine Learning
11-1011.03,Chief Sustainability Officers,1.B.1.f,Conventional,OI,Occupational Interests,4.49,11/2023,Machine Learning
11-1011.03,Chief Sustainability Officers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-1011.03,Chief Sustainability Officers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2,11/2023,Machine Learning
11-1011.03,Chief Sustainability Officers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-1021.00,General and Operations Managers,1.B.1.a,Realistic,OI,Occupational Interests,2.22,11/2023,Machine Learning
11-1021.00,General and Operations Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.39,11/2023,Machine Learning
11-1021.00,General and Operations Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.31,11/2023,Machine Learning
11-1021.00,General and Operations Managers,1.B.1.d,Social,OI,Occupational Interests,3.37,11/2023,Machine Learning
11-1021.00,General and Operations Managers,1.B.1.e,Enterprising,OI,Occupational Interests,6.96,11/2023,Machine Learning
11-1021.00,General and Operations Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.32,11/2023,Machine Learning
