O*NET-SOC Code,Title,Artistic,Conventional,Enterprising,First Interest High-Point,Investigative,Realistic,Second Interest High-Point,Social,Third Interest High-Point,Job Family
11-1011.00,Chief Executives,2.08,5.0,6.88,5.0,3.24,1.3,6.0,3.52,0.0,Management
11-1011.03,Chief Sustainability Officers,2.48,4.49,6.68,5.0,4.78,2.04,2.0,3.55,6.0,Management
11-1021.00,General and Operations Managers,1.31,5.32,6.96,5.0,2.39,2.22,6.0,3.37,0.0,Management
11-1031.00,Legislators,2.7,3.62,5.52,5.0,3.35,1.54,4.0,3.69,6.0,Management
11-2011.00,Advertising and Promotions Managers,3.85,4.3,7.0,5.0,1.71,1.07,6.0,3.14,3.0,Management
11-2021.00,Marketing Managers,2.45,4.7,7.0,5.0,2.9,1.0,6.0,2.82,0.0,Management
11-2022.00,Sales Managers,1.31,5.58,7.0,5.0,1.66,1.49,6.0,3.29,0.0,Management
11-2032.00,Public Relations Managers,3.68,4.39,7.0,5.0,2.35,1.0,6.0,4.14,4.0,Management
11-2033.00,Fundraising Managers,2.67,4.72,7.0,5.0,2.41,1.0,6.0,3.75,4.0,Management
11-3012.00,Administrative Services Managers,1.01,6.43,6.51,5.0,2.03,1.59,6.0,3.71,4.0,Management
11-3013.00,Facilities Managers,1.64,5.41,5.54,5.0,2.52,3.93,6.0,3.59,1.0,Management
11-3013.01,Security Managers,1.29,5.39,5.6,5.0,3.71,3.4,6.0,2.75,0.0,Management
11-3021.00,Computer and Information Systems Managers,1.5,5.72,5.09,6.0,4.42,2.56,5.0,2.41,2.0,Management
11-3031.00,Financial Managers,1.54,5.7,7.0,5.0,2.45,1.22,6.0,2.93,0.0,Management
11-3031.01,Treasurers and Controllers,1.28,6.15,6.22,5.0,2.4,1.0,6.0,2.7,0.0,Management
11-3031.03,Investment Fund Managers,1.47,5.25,6.77,5.0,3.71,1.66,6.0,2.56,2.0,Management
11-3051.00,Industrial Production Managers,1.33,5.29,5.92,5.0,2.94,4.23,6.0,1.83,1.0,Management
11-3051.01,Quality Control Systems Managers,1.17,5.7,5.05,6.0,4.02,3.6,5.0,2.07,2.0,Management
11-3051.02,Geothermal Production Managers,1.0,4.82,4.58,1.0,3.35,5.35,6.0,2.07,5.0,Management
11-3051.03,Biofuels Production Managers,1.0,5.06,5.41,5.0,3.74,4.59,6.0,1.83,1.0,Management
11-3051.04,Biomass Power Plant Managers,1.0,5.34,4.86,6.0,3.19,5.12,1.0,1.72,5.0,Management
11-3051.06,Hydroelectric Production Managers,1.0,5.02,4.57,1.0,3.64,5.37,6.0,1.83,5.0,Management
11-3061.00,Purchasing Managers,1.4,5.55,7.0,5.0,2.01,2.04,6.0,2.77,0.0,Management
11-3071.00,"Transportation, Storage, and Distribution Managers",1.0,5.74,6.0,5.0,2.64,3.6,6.0,2.39,0.0,Management
11-3071.04,Supply Chain Managers,1.0,5.4,6.31,5.0,2.55,3.42,6.0,2.05,0.0,Management
11-3111.00,Compensation and Benefits Managers,1.49,5.56,7.0,5.0,2.44,1.0,6.0,3.69,4.0,Management
11-3121.00,Human Resources Managers,1.71,5.19,7.0,5.0,2.68,1.09,6.0,3.88,4.0,Management
11-3131.00,Training and Development Managers,2.62,3.93,6.35,5.0,3.26,1.95,4.0,5.54,0.0,Management
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1.04,4.51,5.54,5.0,2.77,5.16,1.0,2.63,6.0,Management
11-9021.00,Construction Managers,1.73,4.81,5.74,5.0,3.08,4.69,6.0,2.34,1.0,Management
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",2.88,4.28,4.76,4.0,3.03,1.08,5.0,6.6,6.0,Management
11-9032.00,"Education Administrators, Kindergarten through Secondary",2.95,4.48,5.17,4.0,3.32,1.18,5.0,5.87,6.0,Management
11-9033.00,"Education Administrators, Postsecondary",2.91,4.67,5.19,4.0,4.0,1.0,5.0,5.8,6.0,Management
11-9041.00,Architectural and Engineering Managers,2.66,4.58,6.38,5.0,4.46,3.17,6.0,2.84,2.0,Management
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,2.11,3.51,4.7,2.0,5.84,4.16,5.0,2.1,1.0,Management
11-9051.00,Food Service Managers,1.59,5.29,5.95,5.0,1.86,3.96,6.0,3.51,1.0,Management
11-9071.00,Gambling Managers,1.0,5.44,6.71,5.0,1.32,2.94,6.0,2.63,0.0,Management
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",1.88,4.78,5.86,5.0,2.04,4.11,6.0,3.55,1.0,Management
