O*NET-SOC Code,O*NET-SOC Title,Job Zone,First Interest Area,Second Interest Area,Third Interest Area,Shown in Fewer Occupations
RC,1,45-2091.00,"Agricultural Equipment Operators 
Bright Outlook",,,
RCS,1,35-3023.01,Baristas,,,
RC,1,47-2051.00,Cement Masons and Concrete Finishers,,,
RC,1,53-7011.00,Conveyor Operators and Tenders,,,
RCE,1,35-2011.00,Cooks,Fast Food,,
RC,1,51-9031.00,Cutters and Trimmers,Hand,,
RC,1,47-5011.00,Derrick Operators,Oil and Gas,,
RCS,1,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,,,
RC,1,35-9021.00,Dishwashers,,,
RC,1,45-4021.00,Fallers,,,
RC,1,45-2092.00,Farmworkers and Laborers,Crop,Nursery,
RCE,1,35-3023.00,Fast Food and Counter Workers,,,
RC,1,45-3031.00,Fishing and Hunting Workers,,,
RC,1,47-2043.00,Floor Sanders and Finishers,,,
RC,1,45-2041.00,Graders and Sorters,Agricultural Products,,
RC,1,47-3014.00,Helpers--Painters,Paperhangers,Plasterers,
RC,1,37-3011.00,Landscaping and Groundskeeping Workers,,,
RC,1,51-6011.00,Laundry and Dry-Cleaning Workers,,,
RC,1,45-4022.00,Logging Equipment Operators,,,
RC,1,37-2012.00,Maids and Housekeeping Cleaners,,,
RC,1,51-3022.00,Meat,Poultry,and Fish Cutters and Trimmers,
RAC,1,51-9123.00,Painting,Coating,and Decorating Workers,
RC,1,47-2161.00,Plasterers and Stucco Masons,,,
RC,1,51-6021.00,Pressers,Textile,Garment,
RC,1,47-5051.00,Rock Splitters,Quarry,,
RC,1,47-5071.00,Roustabouts,Oil and Gas,,
RC,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,,,
RCA,1,51-6051.00,Sewers,Hand,,
RC,1,51-6031.00,Sewing Machine Operators,,,
RC,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders,,,
RCI,2,45-2011.00,Agricultural Inspectors,,,
RC,2,53-6032.00,Aircraft Service Attendants,,,
RC,2,51-2011.00,Aircraft Structure,Surfaces,Rigging,
RSC,2,53-3011.00,Ambulance Drivers and Attendants,Except Emergency Medical Technicians,,
RC,2,45-2021.00,Animal Breeders,,,
RSC,2,39-2021.00,Animal Caretakers,,,
RCI,2,33-9011.00,Animal Control Workers,,,
RS,2,39-2011.00,Animal Trainers,,,
RES,2,27-2021.00,Athletes and Sports Competitors,,,
RC,2,53-6031.00,Automotive and Watercraft Service Attendants,,,
RC,2,49-3021.00,Automotive Body and Related Repairers,,,
RC,2,49-3022.00,Automotive Glass Installers and Repairers,,,
RCS,2,39-6011.00,Baggage Porters and Bellhops,,,
RC,2,51-3011.00,Bakers,,,
RCE,2,35-3011.00,Bartenders,,,
RC,2,49-3091.00,Bicycle Repairers,,,
RCI,2,51-8099.01,Biofuels Processing Technicians,,,
RC,2,51-8013.03,Biomass Plant Technicians,,,
